company,role,location,yearsOfExperience,offerDate,totalCompensation,currency,level,baseSalary,baseSalaryCurrency,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,userCurrency,exchangeRate,ipAddress
StartupB,Tech Lead,Seattle,9.9,2026-10-28,255734,USD,IC4,213578,USD,37450,USD,4706,USD,USD,83.0,192.168.39.86
Microsoft,Data Scientist,Chennai,15.9,2022-11-23,8440376,INR,IC3,5415975,INR,1949922,USD,1074479,INR,INR,1.0,192.168.170.101
Amazon,Data Scientist,Chennai,2.2,2021-06-27,2654474,INR,IC2,1542138,INR,630883,USD,481453,INR,INR,1.0,192.168.33.172
Infosys,Software Engineer,Chennai,0.0,2026-06-01,368908,INR,IC1,329192,INR,0,INR,39716,INR,INR,1.0,192.168.93.80
Amazon,Senior Software Engineer,Seattle,2.6,2024-03-03,159093,USD,IC3,90556,USD,47728,USD,20809,USD,USD,83.0,192.168.76.217
Microsoft,Data Scientist,Remote,7.5,2025-06-25,8490224,INR,IC3,5419889,INR,1730093,USD,1340242,INR,INR,1.0,192.168.159.34
Wipro,Product Manager,SF Bay Area,10.3,2022-12-25,64167,USD,IC4,55702,USD,0,USD,8465,USD,USD,83.0,192.168.160.208
Amazon,Engineering Manager,Hyderabad,2.0,2021-04-15,6523627,INR,M1,3856024,INR,1745959,USD,921644,INR,INR,1.0,192.168.157.73
TCS,Senior Software Engineer,Pune,0.1,2022-08-27,691100,INR,IC3,608822,INR,0,INR,82278,INR,INR,1.0,192.168.50.95
Wipro,Product Manager,Hyderabad,11.3,2023-09-17,1899666,INR,IC4,1762534,INR,0,INR,137132,INR,INR,1.0,192.168.108.248
Amazon,Senior Software Engineer,Remote,0.0,2025-06-18,40336,USD,IC3,23193,USD,10653,USD,6490,USD,USD,83.0,192.168.240.27
Infosys,Software Engineer,Seattle,5.5,2021-05-15,25297,USD,IC2,23433,USD,0,USD,1864,USD,USD,83.0,192.168.232.132
Amazon,Product Manager,Bengaluru,0.0,2022-01-14,3508123,INR,IC3,2215977,INR,1011964,USD,280182,INR,INR,1.0,192.168.14.102
Infosys,Tech Lead,SF Bay Area,6.0,2024-06-08,62764,USD,IC4,59591,USD,0,USD,3173,USD,USD,83.0,192.168.8.82
Microsoft,Engineering Manager,Chennai,4.0,2023-05-27,8639636,INR,M1,5435524,INR,1846808,USD,1357304,INR,INR,1.0,192.168.121.179
Amazon,Engineering Manager,Hyderabad,1.2,2024-01-09,6076770,INR,M1,3716156,INR,1765823,USD,594791,INR,INR,1.0,192.168.56.214
Amazon,Data Scientist,Chennai,6.5,2025-05-08,6060158,INR,IC3,3652925,INR,1279413,USD,1127820,INR,INR,1.0,192.168.78.32
Google,Senior Software Engineer,Hyderabad,9.2,2026-02-27,8166005,INR,IC3,5139601,INR,2006480,USD,1019924,INR,INR,1.0,192.168.232.128
Wipro,Data Scientist,Bengaluru,0.0,2026-04-23,847691,INR,IC2,764225,INR,0,INR,83466,INR,INR,1.0,192.168.37.75
StartupB,Software Engineer,Pune,7.5,2023-11-22,2044951,INR,IC2,1582907,INR,187434,INR,274610,INR,INR,1.0,192.168.22.135
StartupA,Software Engineer,Pune,13.0,2025-09-01,3629288,INR,IC2,2906090,INR,540158,INR,183040,INR,INR,1.0,192.168.100.224
TCS,Software Engineer,Chennai,11.3,2024-05-24,954698,INR,IC2,905153,INR,0,INR,49545,INR,INR,1.0,192.168.5.92
Microsoft,Tech Lead,SF Bay Area,15.3,2026-10-24,866140,USD,IC4,533291,USD,182207,USD,150642,USD,USD,83.0,192.168.194.86
Amazon,Software Engineer,Seattle,4.9,2025-11-15,151811,USD,IC2,88636,USD,40121,USD,23054,USD,USD,83.0,192.168.252.179
TCS,Engineering Manager,SF Bay Area,8.9,2022-08-02,103273,USD,M1,88434,USD,0,USD,14839,USD,USD,83.0,192.168.76.52
Google,Senior Software Engineer,Bengaluru,1.7,2023-09-16,4788904,INR,IC3,3080880,INR,1204593,USD,503431,INR,INR,1.0,192.168.65.10
Meta,Tech Lead,Seattle,10.8,2021-02-26,322964,USD,IC4,205592,USD,75313,USD,42059,USD,USD,83.0,192.168.95.112
StartupB,Engineering Manager,Hyderabad,0.7,2024-12-16,2252070,INR,M1,1765406,INR,154676,INR,331988,INR,INR,1.0,192.168.95.237
Infosys,Tech Lead,Remote,4.8,2021-10-27,1409764,INR,IC4,1209426,INR,0,INR,200338,INR,INR,1.0,192.168.47.140
UnicornX,Tech Lead,Bengaluru,12.8,2021-08-20,8267421,INR,IC4,6471671,INR,657789,INR,1137961,INR,INR,1.0,192.168.184.110
Amazon,Engineering Manager,Hyderabad,13.3,2023-06-20,15817824,INR,M2,9407065,INR,4313227,USD,2097532,INR,INR,1.0,192.168.112.71
Google,Software Engineer,Chennai,0.0,2026-12-22,1676252,INR,IC1,990030,INR,421257,USD,264965,INR,INR,1.0,192.168.41.244
Google,Senior Software Engineer,Remote,7.7,2025-04-25,8022800,INR,IC3,4764077,INR,1705832,USD,1552891,INR,INR,1.0,192.168.166.94
StartupA,Product Manager,Pune,0.0,2021-06-12,1503745,INR,IC3,1218800,INR,177301,INR,107644,INR,INR,1.0,192.168.114.196
Microsoft,Data Scientist,SF Bay Area,0.1,2025-05-08,105735,USD,IC2,62034,USD,24471,USD,19230,USD,USD,83.0,192.168.246.30
Google,Engineering Manager,SF Bay Area,7.6,2024-02-09,451035,USD,M1,271421,USD,131411,USD,48203,USD,USD,83.0,192.168.199.67
TCS,Senior Software Engineer,Pune,3.7,2023-08-07,780821,INR,IC3,717885,INR,0,INR,62936,INR,INR,1.0,192.168.32.35
Microsoft,Product Manager,SF Bay Area,5.7,2026-11-28,369611,USD,IC3,219738,USD,77167,USD,72706,USD,USD,83.0,192.168.253.82
StartupA,Engineering Manager,Bengaluru,1.6,2025-03-23,4652155,INR,M1,3741343,INR,647269,INR,263543,INR,INR,1.0,192.168.182.238
Amazon,Tech Lead,Pune,3.6,2022-03-08,5480545,INR,IC4,3080813,INR,1206257,USD,1193475,INR,INR,1.0,192.168.203.127
Google,Tech Lead,Pune,5.5,2025-09-05,7522785,INR,IC4,4415056,INR,2109134,USD,998595,INR,INR,1.0,192.168.157.227
Microsoft,Software Engineer,Seattle,3.5,2024-09-14,94562,USD,IC2,61461,USD,25710,USD,7391,USD,USD,83.0,192.168.197.105
Wipro,Software Engineer,SF Bay Area,14.8,2023-08-15,45697,USD,IC2,41778,USD,0,USD,3919,USD,USD,83.0,192.168.175.133
StartupA,Senior Software Engineer,Remote,2.9,2025-07-17,2603416,INR,IC3,1999935,INR,381730,INR,221751,INR,INR,1.0,192.168.234.223
Google,Software Engineer,Pune,5.5,2022-12-08,3325846,INR,IC2,1930362,INR,719037,USD,676447,INR,INR,1.0,192.168.89.243
Infosys,Tech Lead,Remote,8.8,2021-09-09,22843,USD,IC4,20867,USD,0,USD,1976,USD,USD,83.0,192.168.33.161
UnicornX,Data Scientist,Pune,3.6,2021-10-05,1792768,INR,IC2,1434676,INR,119871,INR,238221,INR,INR,1.0,192.168.44.169
Wipro,Engineering Manager,Pune,4.8,2023-10-02,1249472,INR,M1,1167323,INR,0,INR,82149,INR,INR,1.0,192.168.212.222
Google,Software Engineer,Bengaluru,0.0,2026-04-25,2619056,INR,IC1,1642416,INR,593126,USD,383514,INR,INR,1.0,192.168.147.107
Wipro,Engineering Manager,Bengaluru,13.4,2024-09-10,3823498,INR,M2,3589881,INR,0,INR,233617,INR,INR,1.0,192.168.165.245
UnicornX,Product Manager,SF Bay Area,8.6,2026-12-02,231098,USD,IC4,182708,USD,22036,USD,26354,USD,USD,83.0,192.168.41.113
StartupB,Product Manager,Hyderabad,19.9,2022-12-11,10438506,INR,IC4,8183990,INR,671894,INR,1582622,INR,INR,1.0,192.168.188.253
StartupA,Product Manager,SF Bay Area,5.4,2023-04-15,130987,USD,IC3,104986,USD,7940,USD,18061,USD,USD,83.0,192.168.32.69
TCS,Senior Software Engineer,SF Bay Area,0.0,2021-07-28,21772,USD,IC3,18616,USD,0,USD,3156,USD,USD,83.0,192.168.158.108
Meta,Senior Software Engineer,Remote,2.6,2023-03-16,3517684,INR,IC3,2188396,INR,770314,USD,558974,INR,INR,1.0,192.168.132.120
TCS,Tech Lead,Hyderabad,3.1,2021-07-17,966808,INR,IC4,830493,INR,0,INR,136315,INR,INR,1.0,192.168.118.248
Meta,Senior Software Engineer,Pune,13.6,2023-10-27,11574065,INR,IC3,6422053,INR,2640457,USD,2511555,INR,INR,1.0,192.168.168.173
TCS,Tech Lead,Pune,6.0,2021-07-05,1599760,INR,IC4,1495323,INR,0,INR,104437,INR,INR,1.0,192.168.226.68
StartupA,Product Manager,Seattle,6.3,2021-04-12,122224,USD,IC4,96564,USD,13081,USD,12579,USD,USD,83.0,192.168.142.74
Microsoft,Product Manager,Pune,12.9,2024-10-22,13992708,INR,IC4,8765598,INR,3189947,USD,2037163,INR,INR,1.0,192.168.157.31
Amazon,Software Engineer,Hyderabad,1.3,2023-06-25,2101381,INR,IC1,1322798,INR,491531,USD,287052,INR,INR,1.0,192.168.37.51
Wipro,Data Scientist,Hyderabad,2.1,2025-01-05,637559,INR,IC2,544492,INR,0,INR,93067,INR,INR,1.0,192.168.183.86
TCS,Data Scientist,Hyderabad,10.2,2022-09-05,1553866,INR,IC3,1414991,INR,0,INR,138875,INR,INR,1.0,192.168.84.239
Wipro,Tech Lead,SF Bay Area,0.0,2024-12-27,35877,USD,IC4,34049,USD,0,USD,1828,USD,USD,83.0,192.168.77.152
StartupA,Data Scientist,Remote,3.1,2025-01-12,2148078,INR,IC2,1763301,INR,171801,INR,212976,INR,INR,1.0,192.168.85.173
Microsoft,Product Manager,Pune,3.3,2023-12-21,4973641,INR,IC3,3131780,INR,1355478,USD,486383,INR,INR,1.0,192.168.7.153
TCS,Tech Lead,Chennai,6.2,2025-12-02,1411792,INR,IC4,1281573,INR,0,INR,130219,INR,INR,1.0,192.168.150.123
Amazon,Data Scientist,Chennai,7.2,2026-03-27,6293330,INR,IC3,3851352,INR,1788040,USD,653938,INR,INR,1.0,192.168.175.63
Google,Data Scientist,Chennai,4.9,2021-07-05,3609726,INR,IC3,2054217,INR,881148,USD,674361,INR,INR,1.0,192.168.106.177
Meta,Product Manager,Pune,3.4,2025-12-24,6689156,INR,IC3,4294787,INR,1921673,USD,472696,INR,INR,1.0,192.168.16.181
Amazon,Data Scientist,SF Bay Area,8.3,2025-09-13,247912,USD,IC3,144410,USD,66000,USD,37502,USD,USD,83.0,192.168.81.245
Amazon,Product Manager,Pune,6.4,2023-12-22,8521395,INR,IC4,5152268,INR,2280213,USD,1088914,INR,INR,1.0,192.168.165.206
UnicornX,Data Scientist,Hyderabad,0.0,2022-05-08,1252679,INR,IC2,1059433,INR,97584,INR,95662,INR,INR,1.0,192.168.242.250
UnicornX,Tech Lead,Chennai,3.0,2022-08-12,2976613,INR,IC4,2437917,INR,294388,INR,244308,INR,INR,1.0,192.168.144.240
UnicornX,Tech Lead,Bengaluru,2.6,2025-07-27,3146993,INR,IC4,2573177,INR,276839,INR,296977,INR,INR,1.0,192.168.89.245
Amazon,Tech Lead,Bengaluru,0.0,2023-08-21,4381135,INR,IC4,2828160,INR,910851,USD,642124,INR,INR,1.0,192.168.66.192
TCS,Senior Software Engineer,SF Bay Area,7.2,2025-09-23,46122,USD,IC3,40454,USD,0,USD,5668,USD,USD,83.0,192.168.70.36
Microsoft,Data Scientist,Chennai,8.9,2025-09-08,5586613,INR,IC3,3206315,INR,1145683,USD,1234615,INR,INR,1.0,192.168.164.60
Google,Software Engineer,Hyderabad,5.7,2023-03-01,3285810,INR,IC2,2042906,INR,690199,USD,552705,INR,INR,1.0,192.168.247.141
Amazon,Product Manager,Chennai,3.1,2024-05-11,5381385,INR,IC3,3216695,INR,1183612,USD,981078,INR,INR,1.0,192.168.74.166
Google,Software Engineer,Chennai,2.1,2025-01-06,2302411,INR,IC1,1319793,INR,630558,USD,352060,INR,INR,1.0,192.168.107.226
Amazon,Software Engineer,Remote,10.5,2024-05-02,5539263,INR,IC2,3149798,INR,1522745,USD,866720,INR,INR,1.0,192.168.3.77
Wipro,Data Scientist,Bengaluru,9.8,2023-11-18,1341880,INR,IC3,1178783,INR,0,INR,163097,INR,INR,1.0,192.168.135.127
Amazon,Data Scientist,Hyderabad,8.4,2023-03-24,8020424,INR,IC3,4565876,INR,1694432,USD,1760116,INR,INR,1.0,192.168.118.166
UnicornX,Engineering Manager,SF Bay Area,0.0,2021-10-22,76883,USD,M1,63326,USD,9924,USD,3633,USD,USD,83.0,192.168.194.50
Amazon,Data Scientist,Remote,8.6,2026-02-13,7700196,INR,IC3,4871906,INR,1936815,USD,891475,INR,INR,1.0,192.168.172.25
Amazon,Senior Software Engineer,Hyderabad,7.7,2023-07-08,6848079,INR,IC3,4407304,INR,1374293,USD,1066482,INR,INR,1.0,192.168.115.193
UnicornX,Tech Lead,Seattle,6.4,2025-11-12,178214,USD,IC4,146543,USD,9115,USD,22556,USD,USD,83.0,192.168.178.61
Google,Engineering Manager,Bengaluru,11.3,2024-09-23,21721646,INR,M1,12613339,INR,5224961,USD,3883346,INR,INR,1.0,192.168.198.80
Microsoft,Engineering Manager,Seattle,7.5,2023-03-16,425607,USD,M1,260243,USD,94448,USD,70916,USD,USD,83.0,192.168.40.117
Wipro,Tech Lead,Hyderabad,3.8,2026-08-25,1407918,INR,IC4,1274058,INR,0,INR,133860,INR,INR,1.0,192.168.138.206
Meta,Senior Software Engineer,Chennai,7.8,2025-08-17,6940181,INR,IC3,4423071,INR,1444856,USD,1072254,INR,INR,1.0,192.168.181.93
Microsoft,Data Scientist,Bengaluru,7.3,2021-04-19,8509015,INR,IC3,5385163,INR,2470072,USD,653780,INR,INR,1.0,192.168.138.39
Amazon,Tech Lead,Remote,9.9,2025-08-03,12594794,INR,IC4,7783955,INR,3421902,USD,1388937,INR,INR,1.0,192.168.231.131
TCS,Software Engineer,Hyderabad,11.4,2022-08-19,918696,INR,IC2,828043,INR,0,INR,90653,INR,INR,1.0,192.168.15.144
TCS,Engineering Manager,Remote,0.0,2023-01-24,947594,INR,M1,842975,INR,0,INR,104619,INR,INR,1.0,192.168.56.149
Microsoft,Software Engineer,Hyderabad,0.0,2023-01-03,1580400,INR,IC1,979909,INR,401605,USD,198886,INR,INR,1.0,192.168.253.240
TCS,Software Engineer,Seattle,6.1,2024-03-25,31885,USD,IC2,27676,USD,0,USD,4209,USD,USD,83.0,192.168.165.251
StartupB,Tech Lead,Hyderabad,7.5,2024-07-03,5296484,INR,IC4,4432956,INR,745092,INR,118436,INR,INR,1.0,192.168.175.247
Infosys,Senior Software Engineer,Chennai,9.7,2023-09-13,971696,INR,IC3,837469,INR,0,INR,134227,INR,INR,1.0,192.168.136.33
Meta,Software Engineer,Remote,7.1,2021-07-18,4353628,INR,IC2,2596070,INR,1183792,USD,573766,INR,INR,1.0,192.168.98.211
Meta,Senior Software Engineer,Hyderabad,0.0,2023-12-25,3002341,INR,IC3,1697860,INR,657056,USD,647425,INR,INR,1.0,192.168.29.9
StartupB,Data Scientist,Remote,7.5,2021-08-20,34458,USD,IC3,26075,USD,3770,USD,4613,USD,USD,83.0,192.168.173.181
Google,Senior Software Engineer,Chennai,8.8,2021-04-25,8392281,INR,IC3,4953347,INR,1875120,USD,1563814,INR,INR,1.0,192.168.222.199
Google,Senior Software Engineer,Pune,6.8,2023-10-11,6680596,INR,IC3,3830762,INR,1948327,USD,901507,INR,INR,1.0,192.168.148.154
StartupA,Senior Software Engineer,Seattle,3.9,2022-07-10,79857,USD,IC3,67764,USD,8155,USD,3938,USD,USD,83.0,192.168.71.16
Infosys,Data Scientist,Chennai,9.7,2022-07-18,991219,INR,IC3,904586,INR,0,INR,86633,INR,INR,1.0,192.168.127.13
StartupA,Engineering Manager,Chennai,6.3,2024-07-14,5283475,INR,M1,4377784,INR,432576,INR,473115,INR,INR,1.0,192.168.39.77
StartupB,Senior Software Engineer,Remote,8.2,2025-12-05,4544889,INR,IC3,3794683,INR,363926,INR,386280,INR,INR,1.0,192.168.207.119
Google,Data Scientist,Hyderabad,10.7,2024-04-09,7927633,INR,IC3,4801995,INR,1691830,USD,1433808,INR,INR,1.0,192.168.53.85
Microsoft,Product Manager,Remote,4.8,2023-05-13,74389,USD,IC3,46304,USD,16295,USD,11790,USD,USD,83.0,192.168.173.155
Wipro,Software Engineer,Remote,4.0,2021-12-22,6927,USD,IC2,6416,USD,0,USD,511,USD,USD,83.0,192.168.144.56
TCS,Senior Software Engineer,Remote,9.4,2023-04-07,1283496,INR,IC3,1207641,INR,0,INR,75855,INR,INR,1.0,192.168.247.190
Microsoft,Engineering Manager,Remote,9.9,2024-07-08,18588059,INR,M1,11516467,INR,5025781,USD,2045811,INR,INR,1.0,192.168.142.83
UnicornX,Product Manager,Hyderabad,7.9,2025-06-17,6533829,INR,IC4,5324235,INR,528209,INR,681385,INR,INR,1.0,192.168.226.128
TCS,Software Engineer,Remote,2.5,2026-04-12,505068,INR,IC1,471720,INR,0,INR,33348,INR,INR,1.0,192.168.81.106
Google,Data Scientist,Remote,0.0,2022-10-19,2600853,INR,IC2,1434688,INR,664079,USD,502086,INR,INR,1.0,192.168.185.107
UnicornX,Senior Software Engineer,SF Bay Area,8.9,2023-04-16,159372,USD,IC3,123195,USD,17049,USD,19128,USD,USD,83.0,192.168.141.168
StartupA,Tech Lead,Remote,7.3,2024-03-24,4626069,INR,IC4,3766404,INR,458256,INR,401409,INR,INR,1.0,192.168.204.91
Amazon,Senior Software Engineer,Chennai,17.0,2025-09-21,13073225,INR,IC3,7828661,INR,3813328,USD,1431236,INR,INR,1.0,192.168.246.16
Infosys,Software Engineer,Remote,6.5,2021-01-14,733787,INR,IC2,672752,INR,0,INR,61035,INR,INR,1.0,192.168.36.216
Meta,Software Engineer,Chennai,8.2,2022-06-02,4240598,INR,IC2,2336205,INR,1062581,USD,841812,INR,INR,1.0,192.168.159.164
Wipro,Product Manager,Chennai,2.4,2024-09-18,1027943,INR,IC3,875369,INR,0,INR,152574,INR,INR,1.0,192.168.106.4
Google,Data Scientist,Chennai,14.5,2023-09-27,10584239,INR,IC3,6388369,INR,2420286,USD,1775584,INR,INR,1.0,192.168.179.173
StartupB,Senior Software Engineer,Bengaluru,13.2,2021-10-17,5723838,INR,IC3,4593028,INR,424119,INR,706691,INR,INR,1.0,192.168.65.209
StartupA,Tech Lead,Remote,1.5,2024-04-23,32123,USD,IC4,27174,USD,3081,USD,1868,USD,USD,83.0,192.168.58.77
Microsoft,Engineering Manager,Remote,6.3,2026-09-16,14670171,INR,M1,8205761,INR,3490421,USD,2973989,INR,INR,1.0,192.168.15.164
Google,Engineering Manager,SF Bay Area,0.0,2021-06-19,188654,USD,M1,113190,USD,45917,USD,29547,USD,USD,83.0,192.168.251.220
Microsoft,Data Scientist,Bengaluru,5.3,2022-10-16,5615055,INR,IC3,3206992,INR,1610463,USD,797600,INR,INR,1.0,192.168.70.12
Microsoft,Engineering Manager,Seattle,1.4,2025-06-01,188842,USD,M1,114505,USD,38390,USD,35947,USD,USD,83.0,192.168.247.54
Wipro,Senior Software Engineer,Remote,9.7,2026-05-06,1684693,INR,IC3,1588476,INR,0,INR,96217,INR,INR,1.0,192.168.145.62
Wipro,Product Manager,Chennai,0.2,2025-12-05,656754,INR,IC3,580027,INR,0,INR,76727,INR,INR,1.0,192.168.203.254
Microsoft,Data Scientist,Chennai,4.5,2023-02-11,5115544,INR,IC3,2841018,INR,1246703,USD,1027823,INR,INR,1.0,192.168.155.197
Wipro,Data Scientist,Hyderabad,4.8,2023-05-26,744709,INR,IC3,635209,INR,0,INR,109500,INR,INR,1.0,192.168.116.126
Meta,Tech Lead,Pune,4.9,2024-11-13,7474364,INR,IC4,4433679,INR,2002901,USD,1037784,INR,INR,1.0,192.168.22.198
Wipro,Tech Lead,Remote,0.0,2022-03-13,803232,INR,IC4,689337,INR,0,INR,113895,INR,INR,1.0,192.168.183.201
Amazon,Engineering Manager,Hyderabad,5.0,2023-05-15,10846283,INR,M1,6356681,INR,2268522,USD,2221080,INR,INR,1.0,192.168.93.195
UnicornX,Software Engineer,SF Bay Area,14.3,2021-09-17,145360,USD,IC2,111744,USD,13792,USD,19824,USD,USD,83.0,192.168.105.27
Google,Software Engineer,Seattle,4.8,2025-06-28,116623,USD,IC2,65228,USD,30299,USD,21096,USD,USD,83.0,192.168.99.4
UnicornX,Product Manager,Hyderabad,17.6,2021-04-19,7992395,INR,IC4,6573620,INR,846823,INR,571952,INR,INR,1.0,192.168.134.44
StartupB,Senior Software Engineer,SF Bay Area,6.1,2023-02-06,126410,USD,IC3,98614,USD,12554,USD,15242,USD,USD,83.0,192.168.112.71
StartupB,Tech Lead,Hyderabad,6.9,2021-12-21,4414577,INR,IC4,3470354,INR,637563,INR,306660,INR,INR,1.0,192.168.127.153
Wipro,Senior Software Engineer,Hyderabad,3.4,2021-01-13,777402,INR,IC3,671325,INR,0,INR,106077,INR,INR,1.0,192.168.86.216
Wipro,Product Manager,Remote,5.9,2023-11-20,1326466,INR,IC3,1184616,INR,0,INR,141850,INR,INR,1.0,192.168.35.77
StartupA,Data Scientist,Chennai,2.8,2022-07-11,1747226,INR,IC2,1394113,INR,118399,INR,234714,INR,INR,1.0,192.168.75.189
TCS,Data Scientist,Remote,4.9,2022-07-12,1032506,INR,IC3,906571,INR,0,INR,125935,INR,INR,1.0,192.168.30.239
Wipro,Senior Software Engineer,Pune,0.0,2025-09-01,722018,INR,IC3,626706,INR,0,INR,95312,INR,INR,1.0,192.168.244.187
TCS,Engineering Manager,SF Bay Area,11.6,2024-12-03,85373,USD,M1,79377,USD,0,USD,5996,USD,USD,83.0,192.168.210.218
StartupB,Engineering Manager,Hyderabad,4.5,2022-11-05,4522419,INR,M1,3678235,INR,335573,INR,508611,INR,INR,1.0,192.168.184.109
StartupB,Software Engineer,Hyderabad,0.0,2025-09-28,870396,INR,IC1,694509,INR,78406,INR,97481,INR,INR,1.0,192.168.178.108
Infosys,Software Engineer,Remote,1.0,2023-10-21,532520,INR,IC1,495898,INR,0,INR,36622,INR,INR,1.0,192.168.235.22
Microsoft,Senior Software Engineer,Chennai,10.2,2026-01-19,10518505,INR,IC3,6158594,INR,2784248,USD,1575663,INR,INR,1.0,192.168.252.166
StartupB,Tech Lead,Remote,9.2,2024-12-17,64721,USD,IC4,49179,USD,4673,USD,10869,USD,USD,83.0,192.168.143.149
Wipro,Senior Software Engineer,Hyderabad,3.6,2023-11-19,987579,INR,IC3,878070,INR,0,INR,109509,INR,INR,1.0,192.168.177.129
Amazon,Tech Lead,Bengaluru,0.5,2024-02-04,5520397,INR,IC4,3093934,INR,1333714,USD,1092749,INR,INR,1.0,192.168.213.241
Amazon,Tech Lead,Seattle,4.9,2023-08-12,261853,USD,IC4,155942,USD,57787,USD,48124,USD,USD,83.0,192.168.122.25
TCS,Engineering Manager,Chennai,9.2,2024-05-02,2472523,INR,M1,2180496,INR,0,INR,292027,INR,INR,1.0,192.168.208.182
Microsoft,Software Engineer,Remote,4.4,2023-12-08,3809216,INR,IC2,2353006,INR,824449,USD,631761,INR,INR,1.0,192.168.133.45
Infosys,Senior Software Engineer,Seattle,1.1,2025-08-08,29429,USD,IC3,26269,USD,0,USD,3160,USD,USD,83.0,192.168.205.104
Amazon,Senior Software Engineer,Chennai,8.7,2026-10-07,7877112,INR,IC3,4672809,INR,1598417,USD,1605886,INR,INR,1.0,192.168.116.152
StartupB,Product Manager,Bengaluru,7.5,2026-12-26,5481638,INR,IC4,4228972,INR,426660,INR,826006,INR,INR,1.0,192.168.204.17
Wipro,Software Engineer,Remote,10.2,2025-08-04,12158,USD,IC2,10731,USD,0,USD,1427,USD,USD,83.0,192.168.68.172
TCS,Data Scientist,Chennai,3.6,2023-10-13,827050,INR,IC2,752365,INR,0,INR,74685,INR,INR,1.0,192.168.151.30
StartupA,Tech Lead,Remote,2.8,2024-05-20,2741518,INR,IC4,2279226,INR,330624,INR,131668,INR,INR,1.0,192.168.152.22
Amazon,Tech Lead,Bengaluru,0.0,2022-12-05,4460375,INR,IC4,2589417,INR,973720,USD,897238,INR,INR,1.0,192.168.131.100
StartupB,Data Scientist,SF Bay Area,0.2,2025-11-18,64527,USD,IC2,50871,USD,4425,USD,9231,USD,USD,83.0,192.168.178.236
Amazon,Data Scientist,SF Bay Area,0.0,2024-08-20,110312,USD,IC2,63858,USD,24126,USD,22328,USD,USD,83.0,192.168.14.222
StartupA,Software Engineer,Hyderabad,6.9,2022-09-17,2119216,INR,IC2,1630764,INR,187327,INR,301125,INR,INR,1.0,192.168.168.127
StartupB,Engineering Manager,Hyderabad,3.5,2024-03-03,4825143,INR,M1,3961511,INR,455422,INR,408210,INR,INR,1.0,192.168.145.8
Meta,Tech Lead,Bengaluru,5.8,2023-08-19,11608330,INR,IC4,6645587,INR,2656764,USD,2305979,INR,INR,1.0,192.168.191.198
TCS,Data Scientist,Pune,6.5,2021-05-25,913942,INR,IC3,829193,INR,0,INR,84749,INR,INR,1.0,192.168.140.211
StartupA,Data Scientist,Remote,4.4,2021-07-04,2213570,INR,IC3,1757877,INR,159054,INR,296639,INR,INR,1.0,192.168.189.213
Meta,Tech Lead,Remote,7.4,2021-08-28,7151429,INR,IC4,4182568,INR,2014363,USD,954498,INR,INR,1.0,192.168.31.199
Meta,Senior Software Engineer,Remote,0.0,2026-11-14,3267575,INR,IC3,1911738,INR,885759,USD,470078,INR,INR,1.0,192.168.43.158
Amazon,Senior Software Engineer,Remote,6.8,2022-10-18,6374487,INR,IC3,3869361,INR,1614199,USD,890927,INR,INR,1.0,192.168.44.83
UnicornX,Tech Lead,Pune,6.1,2023-11-27,4545503,INR,IC4,3842040,INR,461103,INR,242360,INR,INR,1.0,192.168.25.35
StartupB,Software Engineer,Seattle,3.6,2026-04-05,57829,USD,IC2,44106,USD,7900,USD,5823,USD,USD,83.0,192.168.183.83
Meta,Engineering Manager,Hyderabad,6.9,2024-11-14,11126261,INR,M1,6277627,INR,2928879,USD,1919755,INR,INR,1.0,192.168.97.116
Microsoft,Engineering Manager,Remote,7.8,2021-06-15,9424152,INR,M1,5889909,INR,2539530,USD,994713,INR,INR,1.0,192.168.244.125
StartupA,Data Scientist,Bengaluru,10.6,2026-11-22,6009308,INR,IC3,4562953,INR,884660,INR,561695,INR,INR,1.0,192.168.179.92
Microsoft,Data Scientist,Hyderabad,7.2,2022-08-09,6606254,INR,IC3,4273010,INR,1866166,USD,467078,INR,INR,1.0,192.168.83.213
UnicornX,Tech Lead,Pune,13.5,2025-06-22,9086910,INR,IC4,6933852,INR,1228934,INR,924124,INR,INR,1.0,192.168.196.13
Google,Software Engineer,Chennai,0.0,2024-03-15,1314115,INR,IC1,724903,INR,384961,USD,204251,INR,INR,1.0,192.168.117.1
StartupB,Senior Software Engineer,Chennai,3.2,2022-05-03,2087026,INR,IC3,1749376,INR,167351,INR,170299,INR,INR,1.0,192.168.168.93
UnicornX,Software Engineer,Seattle,8.3,2026-07-21,92253,USD,IC2,77528,USD,6140,USD,8585,USD,USD,83.0,192.168.79.186
Meta,Product Manager,Chennai,6.8,2021-08-03,6350929,INR,IC4,3939925,INR,1270876,USD,1140128,INR,INR,1.0,192.168.34.152
Meta,Data Scientist,Chennai,3.2,2024-02-28,3155554,INR,IC2,1738485,INR,850610,USD,566459,INR,INR,1.0,192.168.109.178
Amazon,Product Manager,Bengaluru,1.8,2022-02-04,4496964,INR,IC3,2645595,INR,1228014,USD,623355,INR,INR,1.0,192.168.81.95
UnicornX,Senior Software Engineer,Hyderabad,1.6,2022-02-17,2058947,INR,IC3,1676307,INR,242366,INR,140274,INR,INR,1.0,192.168.145.3
